"","Willy","Karen","Kristina","Stefan","Niklas","Fiona","Finley","Zoe","Annika","Ian","Frank","William","Jana","Babsi","Collin","Patrizia","Valentine","Jennifer","Julius","Thomas","Kim","Tamara","Caroline","Dennis","Shae","Knut","Angelina","Victor","Fred","Nora","Carmen","Tashina","Tessa","Adrian","Constanze","Justin","Wilma","Irene","Anastasia","Sabrina","Jason","Jasmine","Dana","Amanda","Jalena","Marcel","Leandro","Justus","Hagen","Ralf","Shaana","Nhome","Azra"
"aber-wie","B","K","","","K","H, J","D","A","D, L","K, F","E","G","","G","E, F, H","G, I","C","A","H","D, H","M","M, E,","F","B, K","G, I, D","A","I, C, D, F","A","","H","A","K","B","I, E","","A","E","","","E","F","","A, E, G, I","","C","F","E","C, E, D, N","D","F, L, N, O","C, I","M","M, D, H, I, J, Q"
"aus-dem-lexikon","C","J","A, D","H, C","D, F, I","F, G","M, H","G, A","K, B","K, G, E","D, B","F","B, N","F","F, A","C, M","A","B","D, H, J, R","J, C","C, G, L","I, A, D","F","K, A","F, L","","F, I, M","G","E","K, L, I","D, J, G","C, B","D","O","C, D","A, C","F, L, G","","E","C, E","A","C, F","A, G, K, F, I","B","D","H","F, I","A, B, K","E, G","B, E, L, P","E, H","F, E, R","C, D, E, N, P"
"ausserirdischer-besuch","A","C","E, C","A, G","F, C","A","C","Q","F, I","D, J, L, F","E, A","K, F","M, O","B","A, D, I","D, M","A","B","E","","C, F","B, G","C, H","C, G","F, K, L","C, E","A, C","A, D","D","B","C, A","A","E, G","L","A","B","C, D, I","H","B, A","A","","A","B, H","","E, G, C","A","A, E","H","A, D","I","C","O","A, H, J, L, N"
"bienensprachen","C, E","H, N, B","E, F","H, G","I, D, F","I","H, A, K, M","G, I, S","H, B","F, E, K","E","B","G, B","F","I","C, E, I","B, C","A, B","P, L, N, R, B, H, A","I, J, F","C, D, E","I, L, A","E","H, A","A, F, L","","K, M","H, G, B","G, E, A","I, C, G","E, I, J","B, C, H, L","C","C, D, F, H","","C, E, H, A, G","Q, P, N, L, G, F, A","E, I","E","B, C","A","C, F","A, G, K, F, E, I","B","D, C, B","E, G, H","F, I","A, B, L, N, K","E, H, G, K","A, B, K","E","B, E, I, K, R","D, G, H, I, N, P, Q"
"boeses-huhn","A, C, E","J, C","","A","F, G","A, C, G","C","Q, G, F, S","B, D","A, J, D, G","A","K, C","C, M, O","B","D, H","C, D","A","B","E, J, H, A","L","C, F, H, K, L","G","A, F","A, G, C","A, I, L","A, C","A, C","B, G","E, D, C","I, L, B","H, I, C","A, G","D, E, G","L, F, E, G","A, C","B, C, G","C, D, K, I, M","H","B, A","A, E","A, H","A, B","B, G","D","A, D, E","A, G, H","A, K","A","D, A, E, I","B, C, E, N, P","F, I","N, E, O","A, B, E, H, J, L, M, N, P, R"
"briefwechsel","","P","D","","F","","F, D","A","L","K","D","","","","","B, I, M","B","B","R","D","C, N, E","N, A","","A, H, K","G, F, D, I","A","C, D","A, D, H","E","G","I, D","K, B","C","B, I, O","B, C","C","E, H","I","","E","A, G","E","E, G","","F, H","C, F","D, E","C, G","D, G, K","E, R, A, L","C","H","C, E, N, R"
"computer",NA,"K","F, A","H, G",NA,"D, J",NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,"A, B",NA,NA,NA,"B, I, L, O","B, D",NA,NA,NA,NA,NA,NA,NA,"C, A, B, G, J","M",NA,NA,"B",NA,NA,NA,"D","B, D","","C",NA,NA,NA,NA,NA,NA,NA,NA,"E, G",NA,NA
"der-unterschied","C, D","E, K","","H, C","D","D, K","L, K","O, P, Q, M","E","E, L","C, B","H","E","A, D","A, K","F, E, I, L","A","","F, R, P, D","C, E, F","A, B, M","B, K, O","C","C, D, F, G, I","G, K, L","D, F","C, F","A, F","F","F, M, H","J, B, C, D","M","E","M, D, P","","A, C","H, B, K, Q","G, C","D, E","D","","F","F, A, C, D, E, G, I","B","A","B, D","C, F","F, I, M","C, D, F","Q, C, L","E","R, F","H, M"
"erfindungen","","M, O","F","G","I","","O, A","I, L, O","E, I","K, A","D, B","H","F","F, G","A","I, L","A","B","F, H, J","K, I","C, D, K","I, L","D, E","A, K, B, F","D, K","","M","H","G, E, A","G","E, B, J","","C","B, E","B, D","C, E","E, G, A","D","E","","","E, F","E, G","","G","C, E","B, G, I","I, L, K","D, K, H","A, Q","E, F","F, S","C, I, N, Q"
"graue-haare","D","G","A, C","H, D","A, H, I","J, K","B, E, M","D, L, P, O","I, H, E","K, J, B, L","B, C","D","H, B","A, B, D, G","F, K","B, E, F, M","A","B","B","B, C","B, C, G, I","B, M, O","C, F, A","F, I, D, K, B","B, L, G, C","","M, G, F","A, E, C","B","M","C, J, B","","","D, M, P","D","C","F, B, R","C, B","E","C, D, E","D","C","G, I","","A","D","F, I","D, I, F, N","E","D, H, L, P","","D","C, F, J"
